" Kenneth Wright",2016,CA33,75528,33.6," R",2105140
" Xavier Becerra",2016,CA34,1853640,77.2," D",1853660
" Adrienne Edwards",2016,CA34,20,22.8," D",1853660
" Norma Torres",2016,CA35,607680,72.4," D",611428
" Tyler R Fischella",2016,CA35,3748,0," R",611428
" Raul Ruiz",2016,CA36,3161739,62.1," D",3523776
" Jeff Stone",2016,CA36,362037,37.9," R",3523776
" Karen Bass",2016,CA37,643072,81.1," D",643072
" Linda Sanchez",2016,CA38,1472078,0," D",1472078
" Ed Royce",2016,CA39,4436570,57.2," R",4515453
" Brett Murdock",2016,CA39,78883,42.8," D",4515453
" Lucille Roybal-Allard",2016,CA40,655433,71.4," D",655433
" Mark A Takano",2016,CA41,1064415,0," D",1316399
" Doug Shepherd",2016,CA41,251984,35," R",1316399
" Ken Calvert",2016,CA42,1443899,58.8," R",1582295
" Tim Sheridan",2016,CA42,138396,41.2," D",1582295
" Maxine Waters",2016,CA43,953624,76.1," D",956470
" Omar Navarro",2016,CA43,2846,23.9," R",956470
" Nanette Barragan",2016,CA44,1892341,0," D",3748571
" Isadore Hall",2016,CA44,1856230,0," D",3748571
" Mimi Walters",2016,CA45,1950502,58.6," R",1915805
" Ron Varasteh",2016,CA45,-34697,41.4," D",1915805
" Lou Correa",2016,CA46,920889,70," D",1190813
" Bao Nguyen",2016,CA46,269924,30," D",1190813
" Alan Lowenthal",2016,CA47,721829,63.7," D",791792
" Andrew Whallon",2016,CA47,69963,0," R",791792
" Dana Rohrabacher",2016,CA48,874820,58.3," R",984664
" Sue Savary",2016,CA48,109844,0," D",984664
" Darrell Issa",2016,CA49,2854882,50.3," R",4959115
" Douglas L. Applegate",2016,CA49,2104233,0," D",4959115
" Duncan D Hunter",2016,CA50,1194881,0," R",1221897
" Patrick Malloy",2016,CA50,27016,36.5," D",1221897
" Juan Vargas",2016,CA51,970275,72.8," D",1045071
" Juan Hidalgo",2016,CA51,74796,27.2," R",1045071
" Scott Peters",2016,CA52,3508602,56.5," D",4896920
" Denise Gitsham",2016,CA52,1388318,43.5," R",4896920
" Susan A Davis",2016,CA53,485039,0," D",605825
" James Veltmeyer",2016,CA53,120786,33," R",605825
" Diana DeGette",2016,CO01,1255486,67.9," D",1316529
" Casper Stokham",2016,CO01,61043,0," R",1316529
" Jared Polis",2016,CO02,1383484,56.9," D",1550600
" Nicholas Morse",2016,CO02,167116,0," R",1550600
" Scott Tipton",2016,CO03,1903931,54.6," R",3591238
" Gail Schwartz",2016,CO03,1687307,40.4," D",3591238
" Kenneth R Buck",2016,CO04,1011676,0," R",1085214
" Bob Seay",2016,CO04,73538,31.5," D",1085214
" Douglas L Lamborn",2016,CO05,587901,0," R",601431
" Misty Plowright",2016,CO05,13530,30.8," D",601431
" Mike Coffman",2016,CO06,3515601,50.9," R",6649174
" Morgan Carroll",2016,CO06,3133573,42.6," D",6649174
" Ed Perlmutter",2016,CO07,1891982,55.2," D",1945336
" George Anthanasopoulos",2016,CO07,53354,0," R",1945336
" John B Larson",2016,CT01,1613789,0," D",1632279
" Matthew Corey",2016,CT01,18490,33.8," R",1632279
" Joe Courtney",2016,CT02,1196029,63.2," D",1246947
" Daria Novak",2016,CT02,50918,33.7," R",1246947
" Rosa L DeLauro",2016,CT03,1141323,0," D",1141323
" Jim Himes",2016,CT04,2121424,59.9," D",2273063
" John Shaban",2016,CT04,151639,40.1," R",2273063
" Elizabeth Esty",2016,CT05,1826049,58," D",1929762
" Clay Cope",2016,CT05,103713,42," R",1929762
" Matt Gaetz",2016,FL01,1129050,69.1," R",1191013
" Steven Specht",2016,FL01,61750,30.9," D",1191013
" Elizabeth Schrey",2016,FL01,213,0," I",1191013
" Neal Dunn",2016,FL02,1968334,67.3," R",2106105
" Walt Dartland",2016,FL02,129924,0," D",2106105
" Rob Lapham",2016,FL02,7847,0," L",2106105
" Ted Yoho",2016,FL03,811470,56.6," R",1412952
" Ken McGurn",2016,FL03,601482,39.8," D",1412952
" John Rutherford",2016,FL04,834630,70.2," R",884824
" David E Bruderly",2016,FL04,50194,0," D",884824
" Al Lawson",2016,FL05,442097,64.2," D",531274
" Glo Smith",2016,FL05,89177,35.8," R",531274
" Ron DeSantis",2016,FL06,4678618,58.6," R",4719868
" William McCullough",2016,FL06,41250,0," D",4719868
" John L Mica",2016,FL07,1624556,0," R",2699031
" Stephanie Murphy",2016,FL07,1074475,51.5," D",2699031
" Bill Posey",2016,FL08,888494,63.1," R",934235
" Bill Stinson",2016,FL08,20500,0," I",934235
" Corry Westbrook",2016,FL08,25241,32.6," D",934235
" Darren Soto",2016,FL09,1186420,57.5," D",1218852
" Wayne Liebnitzky",2016,FL09,32432,42.5," R",1218852
" Val Demings",2016,FL10,162468,64.9," D",213148
" Thuy Lowe",2016,FL10,50680,35.1," R",213148
" David Koller",2016,FL11,49745,0," D",921234
" Matt Schnackenberg",2016,FL11,1611,0," L",921234
" Daniel Webster",2016,FL11,869878,0," R",921234
" Gus Bilirakis",2016,FL12,1406331,68.6," R",1454249
" Robert Tager",2016,FL12,47918,31.4," D",1454249
" David Jolly",2016,FL13,1936036,48.1," R",4009593
" Charlie Crist",2016,FL13,2073557,51.9," D",4009593
" Kathy Castor",2016,FL14,731882,61.8," D",761166
" Christine Quinn",2016,FL14,29284,38.2," R",761166
" Dennis Ross",2016,FL15,1215627,57.5," R",1255545
" Jim Lange",2016,FL15,39918,42.5," D",1255545
" Vernon Buchanan",2016,FL16,1620551,0," R",1691424
" Jan Schneider",2016,FL16,70873,40.2," D",1691424
" Tom Rooney",2016,FL17,626812,61.8," R",760730
" April Freeman",2016,FL17,133918,34.2," D",760730
" Randy Perkins",2016,FL18,10838958,43.1," D",13811773
" Brian Mast",2016,FL18,2948071,53.6," R",13811773
" Carla Spalding",2016,FL18,24744,0," I",13811773
" Francis Rooney",2016,FL19,5142734,65.9," R",5157124
" Robert M Neeld Jr.",2016,FL19,14390,0," D",5157124
" Alcee L Hastings",2016,FL20,798156,0," D",798156
" Lois J Frankel",2016,FL21,1639413,0," D",1666140
" Paul Spain",2016,FL21,26727,35.1," R",1666140
" Ted Deutch",2016,FL22,1508992,58.9," D",1530806
" Andrea Leigh McGee",2016,FL22,21814,41.1," R",1530806
" Debbie Wasserman Schultz",2016,FL23,4009404,56.7," D",4151720
" Joe Kaufman",2016,FL23,123221,40.5," R",4151720
" Donald Endriss",2016,FL23,10000,0," I",4151720
" Lyle Milstein",2016,FL23,9095,0," I",4151720
" Frederica Wilson",2016,FL24,483780,100," D",483780
" Lisa Blunt Rochester",2016,DE01,1514464,55.5," D",3232050
" Bryan Townsend",2016,DE01,757963,0," D",3232050
" Sean Barney",2016,DE01,740579,0," D",3232050
" Hans Reigle",2016,DE01,219044,41," R",3232050
" Buddy Carter",2016,GA01,1004345,100," R",1004345
" Sanford Bishop",2016,GA02,1111034,61.2," D",1156569
" Greg Duke",2016,GA02,45535,38.8," R",1156569
" Drew Ferguson",2016,GA03,1255495,68.4," R",1758432
" Mike Crane",2016,GA03,502937,0," R",1758432
" Hank Johnson",2016,GA04,502696,75.7," D",502696
" John Lewis",2016,GA05,1085379,84.4," D",1095648
" Doug Bell",2016,GA05,10269,0," R",1095648
" Tom Price",2016,GA06,2336891,61.7," R",2336891
" Rob Woodall",2016,GA07,660854,60.4," R",660854
" Austin Scott",2016,GA08,993499,67.6," R",993499
" Doug Collins",2016,GA09,1231709,100," R",1231709
" Jody B Hice",2016,GA10,490282,0," R",490282
" Barry Loudermilk",2016,GA11,831875,67.4," R",831875
" Richard W Allen",2016,GA12,1142250,0," R",1162896
" Tricia Carpenter McCracken",2016,GA12,20646,0," D",1162896
" David Scott",2016,GA13,1227572,100," D",1227572
" Tom Graves",2016,GA14,1347311,100," R",1347311
" Colleen Hanabusa",2016,HI01,972277,71.9," D",972277
" Tulsi Gabbard",2016,HI02,2220302,81.2," D",2220302
" Raul Labrador",2016,ID01,491520,0," R",801503
" James Piotrowski",2016,ID01,309983,31.8," D",801503
" Mike Simpson",2016,ID02,1013933,62.9," R",1015372
" Anthony Tomkins",2016,ID02,1439,0," I",1015372
" Bobby L Rush",2016,IL01,586080,0," D",606736
" August Deuser",2016,IL01,20656,25.9," R",606736
" Robin Kelly",2016,IL02,1098719,79.8," D",1098719
" Daniel Lipinski",2016,IL03,880695,0," D",880695
" Luis V Gutierrez",2016,IL04,523671,0," D",523671
