Bradley Byrne (Republican) 96.4%[60]
Martha Roby (Republican) 48.8%[61]
Nathan Mathis (Democratic) 40.5%[62]
Mike Rogers (Republican) 66.9%[63]
Jesse Smith (Democratic) 32.9%[64]
Robert Aderholt (Republican) 98.5%[65]
Mo Brooks (Republican) 66.7%[66]
Will Boyd (Democratic) 33.2%[67]
Gary Palmer (Republican) 74.5%[60]
David Putman (Democratic) 25.4%[68]
Terri Sewell (Democratic) 98.4%[60]
Don Young (Republican) 50.3%[69]
Steve Lindbeck (Democratic) 36.0%[70]
Jim C. McDermott (Libertarian) 10.3%[71]
Bernie Souphanavong (Independent) 3.0%[72]
Stephen Wright (write-in) 0.4%[73]
Tom O'Halleran (Democratic) 50.7%[74][75][76]
Paul Babeu (Republican) 43.4%[77]
Ray Parrish (Green) 6.0%[78]
Martha McSally (Republican) 57.0%[79]
Matt Heinz (Democratic) 43.0%[80]
Raúl Grijalva (Democratic)[81]
Bill Abatecola (R/write-in)[82]
Harvey Martin (Write-in)[83]
Mike Ross (Libertarian/write-in)[84]
Jaime Vasquez (write-in)[84]
Federico Sanchez (write-in)[84]
Paul Gosar (Republican) 71.5%[85]
Mikel Weisser (Democratic) 28.5%[86]
Andy Biggs (Republican) 64.1%[87]
Talia Fuentes (Democratic) 35.9%[88]
Nolan Daniels (Libertarian/write-in)[84]
David Schweikert (Republican) 62.1%[89]
W. John Williamson (Democratic) 37.9%[89]
Ruben Gallego (Democratic) 75.2%[90]
Eve Nunez (Republican) 24.7%[89]
Neil Westbrooks (Green/write-in) 0.04%[84]
Trent Franks (Republican) 68.5%[89]
Mark Salazar (Green) 31.43%[91]
Hayden Keener III (write-in) 0.03%[92]
Kyrsten Sinema (Democratic) 60.9%[93]
Dave Giles (Republican) 39.1%[85]
Cary Dolego (Green/write-in)[84]
Mike Shipley (Libertarian/write-in)[84]
Axel Bello (write-in)[94]
John Heffernan (write-in)[84]
Rick Crawford (Republican) 76.3%[95]
Mark West (Libertarian) 23.7%[96]
French Hill (Republican) 58.4%[95]
Dianne Curry (Democratic) 36.8%[97]
Chris Hayes (Libertarian) 4.7%[96]
Steve Womack (Republican) 77.3%[95]
Steve Isaacson (Libertarian) 22.7%[96]
Bruce Westerman (Republican) 74.9%[95]
Kerry Hicks (Libertarian) 25.1%[96]
Doug LaMalfa (Republican) 59.1%[98]
Jim Reed (Democratic) 40.9%[99]
Jared Huffman (Democratic) 76.9%[100]
Dale Mensing (Republican) 23.1%[101]
John Garamendi (Democratic) 59.4%[102]
Eugene Cleek (Republican) 40.6%[103]
Tom McClintock (Republican) 62.7%[104]
Bob Derlet (Democratic) 37.3%[105]
Mike Thompson (Democratic) 76.9%[106]
Carlos Santamaria (Republican) 23.1%[107]
Doris Matsui (Democratic) 75.4%[108]
Bob Evans (Republican) 24.6%
Ami Bera (Democratic) 51.2%[102]
Scott Jones (Republican) 48.8%[109]
Paul Cook (Republican) 62.3%[110]
Rita Ramirez (Democratic) 37.7%[110]
Jerry McNerney (Democratic) 57.4%[102]
Tony Amador (Republican) 42.6%[111]
Jeff Denham (Republican) 51.7%
Michael Eggman (Democratic) 48.3%[112]
Mark DeSaulnier (Democratic) 72.1%[102]
Roger Petersen (Republican) 27.9%
Nancy Pelosi (Democratic) 80.9%[102]
Preston Picus (No Party Preference) 19.1%
Barbara Lee (Democratic) 90.8%[102]
Sue Caro (Republican) 9.2%[113]
Jackie Speier (Democratic) 80.9%[102]
Angel Cardenas (Republican) 19.1%
Eric Swalwell (Democratic) 73.8%[114]
Danny Turner (Republican) 26.2%
Jim Costa (Democratic) 58.0%[102]
Johnny Tacherra (Republican) 42.0%[115]
Ro Khanna (Democratic) 61.0%[116]
